code examples,prefix,middle,suffix,completion,exact_match,bleu,chrf,edit_distance
"def predict_attributes(image_path):
    img = cv2.imread(image_path)
    img = cv2.resize(img, (512, 512))
    if img is None:
        print(f""Error: Image at {image_path} could not be loaded."")
        return
    gray_img = cv2.cvtColor(img, cv2.COLOR_BGR2GRAY)
    faces = face_cascade.detectMultiScale(gray_img, scaleFactor=1.3, minNeighbors=5)
    if len(faces) == 0:
        print(""No faces detected."")
        return
    for (x, y, w, h) in faces:
        face = gray_img[y : y + h, x : x + w]
        face_resized = cv2.resize(face, (48, 48))
        face_normalized = face_resized / 255.0
        face_input = np.expand_dims(face_normalized, axis=(0, -1))
        gender_pred, ethnicity_pred, age_pred = model.predict(face_input)
        gender = ""Male"" if gender_pred[0][0] < 0.5 else ""Female""
        match np.argmax(ethnicity_pred[0]):
            case 0:
                ethnicity = ""White""
            case 1:
                ethnicity = ""Black""
            case 2:
                ethnicity = ""Asiatic""
            case 3:
                ethnicity = ""Indian""
            case 4:
                ethnicity = ""Other""
        age = age_pred[0][0]
        
        cv2.putText(img, f""Gender: {gender}"", (x, y - 50), text_font, text_fontScale, text_color, text_thickness)
        cv2.putText(img, f""Ethnicity: {ethnicity}"", (x, y - 30), text_font, text_fontScale, text_color, text_thickness)
        cv2.putText(img, f""Age: {int(age)}"", (x, y - 10), text_font, text_fontScale, text_color, text_thickness)
    
    cv2.imshow('Facial Attribute Recognition', cv2.resize(img, (512, 512)))
    
    cv2.waitKey(0)
    cv2.destroyAllWindows()

predict_attributes(image_path)","def predict_attributes(image_path):
    img = cv2.imread(image_path)
    img = cv2.resize(img, (512, 512))
    if img is None:
        print(f""Error: Image at {image_path} could not be loaded."")
        return
    gray_img = cv2.cvtColor(img, cv2.COLOR_BGR2GRAY)
    faces = face_cascade.detectMultiScale(gray_img, scaleFactor=1.3, minNeighbors=5)
    if len(faces) == 0:
        print(""No faces detected."")
        return
    for (x, y, w, h) in faces:
        face = gray_img[y : y + h, x : x + w]
        face_resized = cv2.resize(face, (48, 48))
        face_normalized = face_resized / 255.0
        face_input = np.expand_dims(face_normalized, axis=(0, -1))
        gender_pred, ethnicity_pred, age_pred = model.predict(face_input)
        gender = ""Male"" if gender_pred[0][0] < 0.5 else ""Female""
        match np.argmax(ethnicity_pred[0]):
            case 0:
                ethnicity = ""White""
            case 1:
                ethnicity = ""Black""
            case 2:
                ethnicity = ""Asiatic""
            case 3:
                ethnicity = ""Indian""",            case 4:,"                ethnicity = ""Other""
        age = age_pred[0][0]
        
        cv2.putText(img, f""Gender: {gender}"", (x, y - 50), text_font, text_fontScale, text_color, text_thickness)
        cv2.putText(img, f""Ethnicity: {ethnicity}"", (x, y - 30), text_font, text_fontScale, text_color, text_thickness)
        cv2.putText(img, f""Age: {int(age)}"", (x, y - 10), text_font, text_fontScale, text_color, text_thickness)
    
    cv2.imshow('Facial Attribute Recognition', cv2.resize(img, (512, 512)))
    
    cv2.waitKey(0)
    cv2.destroyAllWindows()

predict_attributes(image_path)","def predict_attributes(image_path):
    img = cv2.imread(image_path)
    img = cv2.resize(img, (512, 512))
    if img is None:
        print(f""Error: Image at {image_path} could not be loaded."")
        return
    gray_img = cv2.cvtColor(img, cv2.COLOR_BGR2GRAY)
    faces = face_cascade.detectMultiScale(gray_img, scaleFactor=1.3, minNeighbors=5)
    if len(faces) == 0:
        print(""No faces detected."")
        return
    for (x, y, w, h) in faces:
        face = gray_img[y : y + h, x : x + w]
        face_resized = cv2.resize(face, (48, 48))
        face_normalized = face_resized / 255.0
        face_input = np.expand_dims(face_normalized, axis=(0, -1))
        gender_pred, ethnicity_pred, age_pred = model.predict(face_input)
        gender = ""Male"" if gender_pred[0][0] < 0.5 else ""Female""
        match np.argmax(ethnicity_pred[0]):
            case 0:
                ethnicity = ""White""
            case 1:
                ethnicity = ""Black""
            case 2:
                ethnicity = ""Asiatic""
            case 3:
                ethnicity = ""Indian""
            case 4:
                ethnicity = ""Other""
            case 5:
                ethnicity = ""Other""
            case 6:
                ethnicity = ""Other""
            case 7:
                ethnicity = """,0,1.5588217218708338e-155,2.0974898377611866,1272
"def twoSum(nums, target):
    map = {}
    for i, num in enumerate(nums):
        diff = target - num
        if diff in map:
            return [map[diff], i]
        map[num] = i
    return None","def twoSum(nums, target):",    map = {},"    for i, num in enumerate(nums):
        diff = target - num
        if diff in map:
            return [map[diff], i]
        map[num] = i
    return None","def twoSum(nums, target):
    """"""
    :type nums: List[int]
    :type target: int
    :rtype: List[int]
    """"""
    if not nums:
        return []
    if target < 0:
        return []
    if target == ",0,0.0,2.222222222222222,192
"def divide(dividend, divisor):
    if dividend == -(2**31) and divisor == -1:
        return (2**31) - 1     
    return int(dividend / divisor)","def divide(dividend, divisor):",    if dividend == -(2**31) and divisor == -1:,"        return (2**31) - 1     
    return int(dividend / divisor)","def divide(dividend, divisor):
    return dividend / divisor


def get_price(price):
    return price * 100


def get_price_change(price, change):
    return price - change


def get_price_change",0,1.0003688322288243e-231,22.63315408416,168
"def reverse(x):
    result = 0
    negative = x < 0
    x = abs(x)
    while x != 0:
        result = result * 10 + x % 10
        x //= 10
    if negative:
        result = -result
    if result < -2 ** 31 or result > 2 ** 31 - 1:
        return 0
    return result","def reverse(x):
    result = 0
    negative = x < 0
    x = abs(x)
    while x != 0:
        result = result * 10 + x % 10",        x //= 10,"    if negative:
        result = -result
    if result < -2 ** 31 or result > 2 ** 31 - 1:
        return 0
    return result","def reverse(x):
    result = 0
    negative = x < 0
    x = abs(x)
    while x != 0:
        result = result * 10 + x % 10
        x = x // 10
    return result

def main():
    print(reverse(10))

if __name__ == '__main__':
    main()
",0,8.561894227089738e-232,4.898543974868339,221
"def romanToInt(s):
    result = 0
    previous_value = 0
    roman = {'I': 1,'V': 5,'X': 10,'L': 50,'C': 100,'D': 500,'M': 1000}
    for i in reversed(s):
        value = roman[i]
        if value < previous_value:
            result -= value
        else:
            result += value
        previous_value = value
    return result",def romanToInt(s):,    result = 0,"    previous_value = 0
    roman = {'I': 1,'V': 5,'X': 10,'L': 50,'C': 100,'D': 500,'M': 1000}
    for i in reversed(s):
        value = roman[i]
        if value < previous_value:
            result -= value
        else:
            result += value
        previous_value = value
    return result","def romanToInt(s):
    """"""
    Converts a roman number to an integer.
    """"""
    return int(s, 16)


def romanToInt2(s):
    """"""
    Converts a roman number to an integer.
    """"""
    return",0,0.0,3.0658278287767633,180
"def longestConsecutive(nums):
    nums = set(nums)
    maximum = 0
    for num in nums:
        if (num - 1) not in nums:
            counter = 0
            while (num + counter) in nums:
                counter += 1
            maximum = max(maximum, counter)    
    return maximum","def longestConsecutive(nums):
    nums = set(nums)
    maximum = 0",    for num in nums:,"        if (num - 1) not in nums:
            counter = 0
            while (num + counter) in nums:
                counter += 1
            maximum = max(maximum, counter)    
    return maximum","def longestConsecutive(nums):
    nums = set(nums)
    maximum = 0
    for i in range(len(nums)):
        if nums[i] > maximum:
            maximum = nums[i]
    return maximum

def longestConsecutive2(nums):
    nums = set(nums)
    maximum = ",0,9.418382295637229e-232,10.271929085338934,224
"def wordPattern(pattern, s):
    word_map = {}
    s = s.split()
    if len(s) != len(pattern):
        return False
    for index, char in enumerate(pattern):
        if char not in word_map:
            if s[index] in word_map.values():
                return False
            word_map[char] = s[index]
        elif word_map[char] != s[index]:
            return False
    return True","def wordPattern(pattern, s):
    word_map = {}
    s = s.split()
    if len(s) != len(pattern):
        return False
    for index, char in enumerate(pattern):
        if char not in word_map:
            if s[index] in word_map.values():
                return False",            word_map[char] = s[index],"        elif word_map[char] != s[index]:
            return False
    return True","def wordPattern(pattern, s):
    word_map = {}
    s = s.split()
    if len(s) != len(pattern):
        return False
    for index, char in enumerate(pattern):
        if char not in word_map:
            if s[index] in word_map.values():
                return False
            word_map[s[index]] = index
        else:
            return False
    return True


def wordPattern2(pattern, s):
    word_map = {}
    s = s.split()
    if len(s)",0,8.147480343967206e-232,19.562014907600133,410
"def longestPalindrome(s):
    map = {}
    counter = 0
    odd = False
    for char in s:
        if char not in map:
            map[char] = 1
        elif char in map:
            map[char] += 1
    for key, value in map.items():
        if value % 2 == 0:
            counter += value
        elif value % 2 != 0:
            counter += value - 1
            odd = True
    return counter + 1 if odd else counter","def longestPalindrome(s):
    map = {}
    counter = 0
    odd = False
    for char in s:
        if char not in map:
            map[char] = 1
        elif char in map:
            map[char] += 1
    for key, value in map.items():
        if value % 2 == 0:
            counter += value
        elif value % 2 != 0:
            counter += value - 1",            odd = True,    return counter + 1 if odd else counter,"def longestPalindrome(s):
    map = {}
    counter = 0
    odd = False
    for char in s:
        if char not in map:
            map[char] = 1
        elif char in map:
            map[char] += 1
    for key, value in map.items():
        if value % 2 == 0:
            counter += value
        elif value % 2 != 0:
            counter += value - 1
    if odd:
        return counter
    else:
        return counter + 1


def main():
    s = ""aab""
    print(longestPalindrome(s))


if __name__ == ""__main__"":
    main()
",0,2.055211251400735e-155,3.4878174951274645,501
"def search(nums, target):
    left, right = 0, len(nums) - 1
    while left <= right:
        mid = (left + right) // 2
        if nums[mid] == target:
            return mid
        if nums[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1","def search(nums, target):
    left, right = 0, len(nums) - 1
    while left <= right:
        mid = (left + right) // 2
        if nums[mid] == target:
            return mid
        if nums[mid] < target:",            left = mid + 1,"        else:
            right = mid - 1
    return -1","def search(nums, target):
    left, right = 0, len(nums) - 1
    while left <= right:
        mid = (left + right) // 2
        if nums[mid] == target:
            return mid
        if nums[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1


def main():
    nums = [1, 2, 3, 4, 5, 6, 7,",0,0.06187801820036991,16.825611447935685,309
"def missingNumber(nums):
    n = len(nums)
    result = n * (n + 1) // 2
    for num in nums:
        result -= num
    return result","def missingNumber(nums):
    n = len(nums)",    result = n * (n + 1) // 2,"    for num in nums:
        result -= num
    return result","def missingNumber(nums):
    n = len(nums)
    if n == 0:
        return 0
    else:
        return n - 1

def missingNumber2(nums):
    n = len(nums)
    if n == 0:
        return 0
    else:",0,9.418382295637229e-232,6.819284824049027,172
"def insertGreatestCommonDivisors(head):
    node = head
    while node.next:
        node.next = ListNode(gcd(node.val, node.next.val), node.next)
        node = node.next.next
    return head","def insertGreatestCommonDivisors(head):
    node = head
    while node.next:","        node.next = ListNode(gcd(node.val, node.next.val), node.next)","        node = node.next.next
    return head","def insertGreatestCommonDivisors(head):
    node = head
    while node.next:
        node = node.next
    node.next = head
    return head


def insertGreatestCommonSubsequence(head):
    node = head
    while node.next:
        node = node.next
    node.next = head
   ",0,3.382978718431202e-155,32.760211948339894,216
"def mergeInBetween(list1, a, b, list2):
    left = right = list1
    for _ in range(a - 1):
        left = left.next
    for _ in range(b):
        right = right.next
    left.next = list2
    while list2:
        list2 = list2.next
    left.next = right.next
    left = right.next = None
    return list1","def mergeInBetween(list1, a, b, list2):
    left = right = list1
    for _ in range(a - 1):
        left = left.next
    for _ in range(b):
        right = right.next
    left.next = list2",    while list2:,"        list2 = list2.next
    left.next = right.next
    left = right.next = None
    return list1","def mergeInBetween(list1, a, b, list2):
    left = right = list1
    for _ in range(a - 1):
        left = left.next
    for _ in range(b):
        right = right.next
    left.next = list2
    right.next = list1
    return left, right


def mergeInBetween2(list1, a, b, list2):
    left = right = list1
    for _ in range(a - 1):
        left",0,0.0,6.750899001027277,327
"def reverseList(head):
    prev, curr = None, head
    while curr:
        temp = curr.next
        curr.next = prev
        prev = curr
        curr = temp
    return prev","def reverseList(head):
    prev, curr = None, head
    while curr:",        temp = curr.next,"        curr.next = prev
        prev = curr
        curr = temp
    return prev","def reverseList(head):
    prev, curr = None, head
    while curr:
        curr = curr.next
        prev = curr
    return prev

def reverseList2(head):
    prev, curr = None, head
    while curr:
        curr = curr.next
        prev = curr
    return prev

def",0,3.0202505652128895e-155,18.598701346414074,239
"def swapPairs(self, head):
    if not head or not head.next:
        return head
    head.val, head.next.val = head.next.val, head.val
    self.swapPairs(head.next.next)
    return head","def swapPairs(self, head):
    if not head or not head.next:
        return head","    head.val, head.next.val = head.next.val, head.val","    self.swapPairs(head.next.next)
    return head","def swapPairs(self, head):
    if not head or not head.next:
        return head
    if not head.next.next:
        return head
    return swapPairs(head.next.next) + swapPairs(head.next)

def swapPairs2(head):
    if not head or not head.next:",0,0.0,30.558592491090238,203
"def oddEvenList(head):
    if not head or not head.next:
        return head
    odd = head
    even = head.next
    node = even
    while even and even.next:
        odd.next = odd.next.next
        even.next = even.next.next
        odd = odd.next
        even = even.next
    odd.next = node
    return head",def oddEvenList(head):,    if not head or not head.next:,"        return head
    odd = head
    even = head.next
    node = even
    while even and even.next:
        odd.next = odd.next.next
        even.next = even.next.next
        odd = odd.next
        even = even.next
    odd.next = node
    return head","def oddEvenList(head):
    odd = []
    even = []
    for i in range(len(head)):
        if head[i] % 2 == 0:
            even.append(head[i])
        else:
            odd.append(head[",0,8.510469113101058e-232,14.587400552378533,162
"def mergeTwoLists(list1, list2):
    result = current = ListNode(0)
    while list1 and list2:
        if list1.val < list2.val:
            current.next = list1
            list1 = list1.next
        else:
            current.next = list2
            list2 = list2.next
        current = current.next
    if list1:
        current.next = list1
    elif list2:
        current.next = list2
    return result.next","def mergeTwoLists(list1, list2):
    result = current = ListNode(0)
    while list1 and list2:
        if list1.val < list2.val:
            current.next = list1
            list1 = list1.next
        else:
            current.next = list2
            list2 = list2.next
        current = current.next
    if list1:
        current.next = list1",    elif list2:,"        current.next = list2
    return result.next","def mergeTwoLists(list1, list2):
    result = current = ListNode(0)
    while list1 and list2:
        if list1.val < list2.val:
            current.next = list1
            list1 = list1.next
        else:
            current.next = list2
            list2 = list2.next
        current = current.next
    if list1:
        current.next = list1
    if list2:
        current.next = list2
    return result


def mergeTwoLists2(list1, list2):
    result = current = ListNode(0)
    while list1 and list2:
        if list1",0,6.60163220855285e-232,8.64079872954785,505
"def quick_sort(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return quick_sort(left) + middle + quick_sort(right)",def quick_sort(arr):,    if len(arr) <= 1:,"        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return quick_sort(left) + middle + quick_sort(right)","def quick_sort(arr):
    """"""
    Quick sort algorithm.
    """"""
    for i in range(1, len(arr)):
        for j in range(i):
            if arr[j] > arr[j - 1]:
                arr[j], arr[",0,8.231055179516831e-232,19.999936442758756,168
"def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j + 1] = arr[j]
            j -= 1
        arr[j + 1] = key
    return arr","def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j + 1] = arr[j]
            j -= 1",        arr[j + 1] = key,    return arr,"def insertion_sort(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j + 1] = arr[j]
            j -= 1
        arr[j + 1] = key
    return arr


def insertion_sort_2(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1",0,0.06428216024520217,21.130656783325914,303
"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        left = arr[:mid]
        right = arr[mid:]
        merge_sort(left)
        merge_sort(right)
        i = j = k = 0
        while i < len(left) and j < len(right):
            if left[i] < right[j]:
                arr[k] = left[i]
                i += 1
            else:
                arr[k] = right[j]
                j += 1
            k += 1
        while i < len(left):
            arr[k] = left[i]
            i += 1
            k += 1
        while j < len(right):
            arr[k] = right[j]
            j += 1
            k += 1
    return arr","def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        left = arr[:mid]
        right = arr[mid:]
        merge_sort(left)",        merge_sort(right),"        i = j = k = 0
        while i < len(left) and j < len(right):
            if left[i] < right[j]:
                arr[k] = left[i]
                i += 1
            else:
                arr[k] = right[j]
                j += 1
            k += 1
        while i < len(left):
            arr[k] = left[i]
            i += 1
            k += 1
        while j < len(right):
            arr[k] = right[j]
            j += 1
            k += 1
    return arr","def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr) // 2
        left = arr[:mid]
        right = arr[mid:]
        merge_sort(left)
        merge_sort(right)
        return merge(left, right)
    else:
        return arr


def merge(left, right):
    if left is None:
        return right
    if right is None:
        return left
    mid",0,7.199666163340923e-232,26.490037291971547,327
"def selection_sort(arr):
    n = len(arr)
    for i in range(n):
        min_index = i
        for j in range(i + 1, n):
            if arr[j] < arr[min_idx]:
                min_index = j
        arr[i], arr[min_index] = arr[min_index], arr[i]
    return arr",def selection_sort(arr):,    n = len(arr),"    for i in range(n):
        min_index = i
        for j in range(i + 1, n):
            if arr[j] < arr[min_idx]:
                min_index = j
        arr[i], arr[min_index] = arr[min_index], arr[i]
    return arr","def selection_sort(arr):
    """"""
    Sorts the array in place.
    """"""
    for i in range(len(arr)):
        j = i
        while j > 0 and arr[j] > arr[j - 1]:
            arr[j],",0,7.992219124248642e-232,21.10950573835413,164
